,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25
Shrew_office_Ila,0.0,0.0,0.999999940093117,0.0,6.477665310209836e-16,0.0,5.990666202768037e-08,0.0,0.0,0.0,0.0,0.0,1.0912910358072534e-19,2.207678545703248e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.788411805382198e-112,1.0514125742892e-25,0.0,2.062625277430245e-56,0.0,0.0
Shrew_office_Doug,0.0,0.0,6.7338715647914155e-12,0.0,3.3250549149416324e-06,0.0,0.9997074038738936,0.0,0.0,0.0,0.0,0.0,0.00028882731754759143,4.437469103102316e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.7375586099467136e-238,1.1472447633113612e-47,0.0,2.233865159908981e-28,0.0,0.0
Shrew_office_Doris,0.0,0.0,1.0,0.0,2.9489354541448187e-24,0.0,9.476001257857546e-16,0.0,0.0,0.0,0.0,0.0,1.593800606016196e-29,1.041777307683103e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7597112150374453e-22,0.0,5.042257097708049e-105,0.0,0.0
Shrew_office_Lin,0.0,0.0,2.020540292543026e-62,0.0,3.139647732455789e-109,0.0,1.464053760755661e-108,0.0,0.0,0.0,0.0,0.0,2.026051173958257e-144,6.04466184434249e-122,0.0,1.0,0.0,0.0,0.0,0.0,8.006154248473255e-97,1.8853286208555868e-74,0.0,9.302559035710026e-297,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,3.330154898279138e-20,0.0,9.284703082827233e-25,0.0,1.4266037744184662e-29,0.0,0.0,0.0,0.0,0.0,1.9417090602287225e-07,0.9999998058290924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552758953840323e-75,0.0,1.5965005399217714e-99,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.913692973514185e-228,0.0,1.0746221296491173e-197,0.0,1.2268133293845958e-183,0.0,0.0,0.0,0.0,1.0,0.0,2.4005518426063693e-296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.788487557877339e-268,0.0,0.0
Mouse_health_Modesto,0.0,0.0,1.6288719541904057e-234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.478423234747529e-213,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,8.106978662354722e-20,0.0,3.3064305401475484e-35,0.0,4.0361643639057616e-07,0.0,0.0,0.0,0.0,0.0,0.9999995963835226,4.113853115114971e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482763887621105e-73,0.0,2.5275853752882414e-74,0.0,0.0
Mouse_health_Justin,0.0,0.0,1.8393434603013607e-306,0.0,8.745869050653925e-271,0.0,1.2128351644624809e-191,0.0,1.0,0.0,0.0,0.0,2.68909787473e-313,1.106862628935927e-276,0.0,0.0,0.0,0.0,0.0,0.0,4.141286464864651e-245,4.9019504838925155e-82,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,4.837586608330485e-15,0.0,1.027367456897708e-18,0.0,0.9931942668269842,0.0,0.0,0.0,0.0,0.0,0.006385773245108388,0.00041995992790300635,0.0,0.0,0.0,0.0,0.0,0.0,1.88093195043927e-309,4.818176279680897e-47,0.0,1.4812623729166565e-20,0.0,0.0
Mouse_health_Estela,0.0,1.0,8.75673178216449e-63,0.0,2.5890550389804034e-149,0.0,7.772617134181748e-102,0.0,0.0,0.0,0.0,0.0,1.2072960081167527e-143,1.6724739467005542e-137,0.0,0.0,0.0,0.0,0.0,0.0,1.0308451117811952e-301,1.401920342211775e-61,0.0,2.804917874304e-312,0.0,0.0
Mouse_science_Micheal,0.0,0.0,6.125895728315783e-249,1.0,2.875350713446285e-228,0.0,3.3688035828169398e-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00233113183232e-228,0.0,0.0,1.6856096370145826e-267,0.0,0.0
